what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400782467293
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400782481926
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400782482831
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400782496746
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400782501989
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400782502659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400782505764
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1400782513425
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1400782514641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1400782515312
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1400782516045
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400782523721
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400782696681
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400782699037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1400782808847
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1400783057716
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1400783072629
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1400783093237
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400783117809
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1400783167246
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1400783188212
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1400783199554
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1400783199990
